Total terms:1806	Total Docs:967
-----------------------------------------------------------
NO.	Term	Coverage_New	Coverage_Total
293	updating	0	0.968
294	used	0	0.968
295	2	0	0.968
296	admin	0	0.968
297	another	0	0.968
298	any	0	0.968
299	anymore	0	0.968
300	appearing	0	0.968
301	approver	0	0.968
302	arabic	0	0.968
303	attempt	0	0.968
304	attempts	0	0.968
305	attendance	0	0.968
306	automatically	0	0.968
307	babcock	0	0.968
308	baicintl	1	0.969
309	characters	0	0.969
310	clicking	0	0.969
311	config	1	0.970
312	content	0	0.970
313	credit	0	0.970
314	cut	0	0.970
315	different	0	0.970
316	direct	0	0.970
317	disable	0	0.970
318	drop	0	0.970
319	duplicate	0	0.970
320	employee	0	0.970
321	entry	0	0.970
322	follow	0	0.970
323	form	0	0.970
324	french	1	0.971
325	get	0	0.971
326	i	0	0.971
327	ie8	0	0.971
328	incorrectly	0	0.971
329	interest	0	0.971
330	last	0	0.971
331	latest	0	0.971
332	log	0	0.971
333	manage	0	0.971
334	mandatory	0	0.971
335	menu	0	0.971
336	more	0	0.971
337	need	0	0.971
338	notification	0	0.971
339	open	0	0.971
340	opml	0	0.971
341	parameter	1	0.972
342	parameters	0	0.972
343	participants	1	0.973
344	paste	0	0.973
345	pool	0	0.973
346	preview	0	0.973
347	printing	1	0.974
348	quick	0	0.974
349	read	0	0.974
350	reminder	0	0.974
351	resources	0	0.974
352	response	0	0.974
353	return	0	0.974
354	sc	0	0.974
355	schedule	0	0.974
356	selected	0	0.974
357	setup	0	0.974
358	share	0	0.974
359	sheet	0	0.974
360	space	0	0.974
361	startdate	0	0.974
362	still	0	0.974
363	strange	0	0.974
364	string	0	0.974
365	support	0	0.974
366	survey	0	0.974
367	table	0	0.974
368	takes	0	0.974
369	templates	0	0.974
370	title	0	0.974
371	token	1	0.975
372	transcripts	0	0.975
373	trying	0	0.975
374	ttp	0	0.975
375	via	0	0.975
376	?	1	0.976
377	?	0	0.976
378	1524	0	0.976
379	2013	0	0.976
380	9	0	0.976
381	accessing	0	0.976
382	added	0	0.976
383	administrative	0	0.976
384	alignment	0	0.976
385	also	0	0.976
386	always	0	0.976
387	analysis	0	0.976
388	answers	0	0.976
389	assigning	0	0.976
390	assignment	0	0.976
391	associated	0	0.976
392	background	0	0.976
393	been	0	0.976
394	before	0	0.976
395	build	0	0.976
396	call	1	0.977
397	catalogue	0	0.977
398	certificate	0	0.977
399	certificates	1	0.978
400	certification	1	0.979
401	certifications	0	0.979
402	cloning	0	0.979
403	code	0	0.979
404	comment	0	0.979
405	completions	0	0.979
406	composite	0	0.979
407	confusing	1	0.980
408	contains	0	0.980
409	created	0	0.980
410	deadline	0	0.980
411	displays	0	0.980
412	entered	0	0.980
413	event	0	0.980
414	expected	0	0.980
415	external	0	0.980
416	files	0	0.980
417	finding	0	0.980
418	first	0	0.980
419	fix	0	0.980
420	full	0	0.980
421	generate	0	0.980
422	grade	0	0.980
423	grading	0	0.980
424	highest	1	0.981
425	hotspot	0	0.981
426	http	0	0.981
427	ie9	0	0.981
428	importer	0	0.981
429	include	0	0.981
430	inconsistent	0	0.981
431	info	0	0.981
432	it's	0	0.981
433	key	0	0.981
434	kpmgtest	0	0.981
435	learner	0	0.981
436	limit	0	0.981
437	listing	0	0.981
438	loading	0	0.981
439	location	0	0.981
440	logged	0	0.981
441	longer	0	0.981
442	look	0	0.981
443	lots	0	0.981
444	manually	0	0.981
445	messages	1	0.982
446	metlife	0	0.982
447	mixed	0	0.982
448	my	0	0.982
449	names	0	0.982
450	needs	0	0.982
451	null	0	0.982
452	order	0	0.982
453	package	0	0.982
454	peacehealth	0	0.982
455	people	0	0.982
456	perform.netdimensions.com	0	0.982
457	phs	0	0.982
458	policy	0	0.982
459	pop	1	0.983
460	profiles	0	0.983
461	programmes	0	0.983
462	progress	0	0.983
463	queries	0	0.983
464	query	0	0.983
465	regions	1	0.984
466	reminders	0	0.984
467	remove	0	0.984
468	reset	0	0.984
469	reviewer	0	0.984
470	reviewing	0	0.984
471	running	0	0.984
472	s	0	0.984
473	sample	0	0.984
474	scorm	0	0.984
475	sent	0	0.984
476	server	0	0.984
477	set	0	0.984
478	sites	0	0.984
479	some	0	0.984
480	specific	0	0.984
481	standard_de_de.properties	2	0.987
482	structure	0	0.987
483	taking	0	0.987
484	times	0	0.987
485	top	0	0.987
486	transfer	0	0.987
487	translatable	0	0.987
488	translate	1	0.988
489	twice	0	0.988
490	typo	1	0.989
491	uat	0	0.989
492	unknown	0	0.989
493	until	0	0.989
494	updater	0	0.989
495	urgent	0	0.989
496	usage	0	0.989
497	user's	0	0.989
498	vendor	0	0.989
499	virtual	0	0.989
500	visibility	0	0.989
501	window	0	0.989
502	withdraw	0	0.989
503	within	0	0.989
504	word	0	0.989
505	wysiwyg	0	0.989
506	z7382	0	0.989
507	?	0	0.989
508	?	1	0.990
509	?	0	0.990
510	?	0	0.990
511	?	0	0.990
512	1000	0	0.990
513	1576	0	0.990
514	1688	0	0.990
515	2004	0	0.990
516	6258	0	0.990
517	8	0	0.990
518	accessed	0	0.990
519	accessible	0	0.990
520	action	0	0.990
521	active	0	0.990
522	already	0	0.990
523	anything	0	0.990
524	appraisals	1	0.991
525	appraisee	0	0.991
526	approve	0	0.991
527	article	0	0.991
528	assessments	0	0.991
529	attached	0	0.991
530	autoenroll	0	0.991
531	automated	0	0.991
532	automatic	0	0.991
533	awarded	0	0.991
534	bcd	0	0.991
535	between	0	0.991
536	big	0	0.991
537	blank	0	0.991
538	boxes	0	0.991
539	br	0	0.991
540	broken	0	0.991
541	buttons	0	0.991
